runIndex,seedKey,studyCondition,controllerMode,organizationMode,scheduleId,scheduleStartGen,scheduleDuration,scheduleAmplitude,generationLimit,measurementInterval,worldPreset,cols,rows,generation,density,inK,timeInKFraction,cumulativeDistanceOutsideK,recoveries,meanAbsDensityError,interventionRate,coordinationBandwidthProxy,ultraProbeCount,ultraKeptCount,ultraRevertedCount,lastUltraOutcome,lastUltraGeneration,stableEpisodeLength,lastUltraMinPop,lastUltraDeltaPop,rule,w
0,167837697,homeostatic,SetpointError,Central,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.1743827160493827,true,0.94,0.22762962962962957,2,0.05481664604523627,0.0010313786008230453,0,0,0,0,,,200,,,B3/S23,0
1,167837698,homeostatic,SetpointError,Central,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.14609053497942387,true,0.94,0.08934979423868311,1,0.06518140050014849,0.0012294238683127573,0,0,0,0,,,200,,,B3/S23,0
2,167837699,homeostatic,SetpointError,Central,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.16049382716049382,true,1,0,0,0.06572208239093186,0.0015959362139917695,0,0,0,0,,,200,,,B3/S23,0
3,167837700,homeostatic,SetpointError,Central,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.15123456790123457,true,0.985,0.019193415637860086,0,0.06285271768475742,0.001427469135802469,0,0,0,0,,,200,,,B3/S23,0
4,167837701,homeostatic,SetpointError,Central,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.1484053497942387,true,0.97,0.056716049382716016,1,0.06195707792188803,0.0011805555555555556,0,0,0,0,,,200,,,B3/S23,0
5,167837702,homeostatic,SetpointError,Central,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.1332304526748971,true,0.985,0.021765432098765435,0,0.06446631278707332,0.001534207818930041,0,0,0,0,,,200,,,B3/S23,0
6,167837703,homeostatic,SetpointError,Central,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.13708847736625515,true,0.985,0.01996502057613169,0,0.06744539790937579,0.001859567901234568,0,0,0,0,,,200,,,B3/S23,0
7,167837704,homeostatic,SetpointError,Central,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.14917695473251028,true,0.965,0.08260699588477369,1,0.06751676671679524,0.0015689300411522633,0,0,0,0,,,200,,,B3/S23,0
8,167837705,homeostatic,SetpointError,Central,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.12217078189300412,true,0.995,0.011627572016460905,0,0.0754903020760442,0.0022093621399176954,0,0,0,0,,,200,,,B3/S23,0
9,167837706,homeostatic,SetpointError,Central,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.14994855967078188,true,1,0,0,0.06624587598444112,0.001606224279835391,0,0,0,0,,,200,,,B3/S23,0
10,167837707,homeostatic,SetpointError,Central,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.165380658436214,true,0.99,0.009506172839506184,1,0.06515115496425333,0.001482767489711934,0,0,0,0,,,200,,,B3/S23,0
11,167837708,homeostatic,SetpointError,Central,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.13631687242798354,true,0.995,0.016,0,0.07267811699668267,0.0020601851851851853,0,0,0,0,,,200,,,B3/S23,0
12,167837709,homeostatic,SetpointError,Central,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.14248971193415638,true,1,0,0,0.06277069075695596,0.0013323045267489711,0,0,0,0,,,200,,,B3/S23,0
13,167837710,homeostatic,SetpointError,Central,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.16332304526748972,true,0.99,0.02222633744855967,0,0.06520628124663876,0.0018544238683127572,0,0,0,0,,,200,,,B3/S23,0
14,167837711,homeostatic,SetpointError,Central,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.16049382716049382,true,0.995,0.015742798353909467,0,0.06573559722888035,0.0017399691358024692,0,0,0,0,,,200,,,B3/S23,0
15,167837712,homeostatic,SetpointError,Central,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.1352880658436214,true,0.995,0.009569958847736626,0,0.06775118065107795,0.0019495884773662552,0,0,0,0,,,200,,,B3/S23,0
16,167837713,homeostatic,SetpointError,Central,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.1388888888888889,true,1,0,0,0.06890266122835469,0.0020357510288065844,0,0,0,0,,,200,,,B3/S23,0
17,167837714,homeostatic,SetpointError,Central,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.15329218106995884,true,0.985,0.018561728395061733,1,0.06452356911250665,0.0016576646090534978,0,0,0,0,,,200,,,B3/S23,0
18,167837715,homeostatic,SetpointError,Central,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.14660493827160495,true,1,0,0,0.06698208172500855,0.0017772633744855967,0,0,0,0,,,200,,,B3/S23,0
19,167837716,homeostatic,SetpointError,Central,pulse,40,30,0.55,200,0,homeostat,72,54,200,0.16229423868312756,true,0.99,0.016825102880658437,0,0.07166175712523977,0.0021000514403292183,0,0,0,0,,,200,,,B3/S23,0
